Ticker	Sample Size	Accuracy	SMAPE
HCA	16	0.562	0.077
ABT	16	0.438	0.048
LLY	16	0.562	0.052
PFE	16	0.688	0.030
ZTS	16	0.562	0.058
WMT	16	0.438	0.043
MNST	16	0.562	0.075
MDLZ	16	0.812	0.040
KO	16	0.562	0.023
KHC	6	0.833	0.051
Ensemble	150	0.587	0.050
