Ticker	Sample Size	Accuracy	SMAPE
HCA	18	0.778	0.058
ABT	18	0.833	0.034
LLY	18	0.778	0.033
PFE	18	0.778	0.036
ZTS	18	0.778	0.032
WMT	18	0.722	0.045
MNST	18	0.722	0.050
MDLZ	18	0.556	0.045
KO	18	0.667	0.024
KHC	9	0.889	0.017
Ensemble	171	0.743	0.039
