Ticker	Sample Size	Accuracy	SMAPE
AMZN	18	0.611	0.210
CMG	16	0.875	0.094
NKE	17	0.765	0.093
HD	18	0.667	0.118
MMM	18	0.667	0.096
GE	18	0.611	0.064
IBM	18	0.722	0.048
INTC	18	0.667	0.111
PKG	18	0.611	0.157
MON	16	0.750	0.045
Ensemble	175	0.691	0.104
