Ticker	Sample Size	Accuracy	SMAPE
HCA	17	0.706	0.106
ABT	18	0.833	0.062
LLY	18	0.556	0.095
PFE	18	0.556	0.044
ZTS	16	0.688	0.102
WMT	18	0.500	0.054
MNST	18	0.778	0.169
MDLZ	17	0.765	0.071
KO	18	0.722	0.026
KHC	8	0.500	0.033
Ensemble	166	0.669	0.078
