Ticker	Date	Actual	Predicted	Actual	Predicted	Result
HCA	2013-11-05	  46.45	  43.50	Down	Down	match
HCA	2014-01-16	  51.22	  47.95	Down	Down	match
HCA	2014-05-02	  51.88	  50.33	Down	Down	match
HCA	2014-06-19	  56.49	  52.81	Down	Down	match
HCA	2014-06-24	  56.54	  53.39	Down	Down	match
HCA	2014-06-25	  56.85	  53.79	Down	Down	match
HCA	2014-08-04	  65.83	  55.47	Stable	Down	miss
HCA	2014-09-08	  70.23	  61.16	Stable	Stable	match
HCA	2014-11-17	  65.73	  58.70	Stable	Down	miss
HCA	2015-06-01	  82.39	  76.43	Up	Up	match
HCA	2016-03-22	  77.16	  73.75	Up	Stable	miss
HCA	2016-09-09	  75.94	  75.63	Stable	Stable	match
HCA	2016-11-25	  71.39	  72.42	Stable	Stable	match
HCA	2017-02-07	  82.59	  79.43	Up	Up	match
HCA	2017-04-24	  84.26	  83.34	Up	Up	match
HCA	2017-11-02	  76.43	  76.31	Stable	Stable	match
ABT	2013-11-05	  37.36	  36.70	Down	Down	match
ABT	2014-01-16	  39.54	  38.41	Down	Down	match
ABT	2014-05-02	  38.56	  38.71	Down	Down	match
ABT	2014-06-19	  41.00	  39.79	Stable	Down	miss
ABT	2014-06-24	  40.45	  39.93	Down	Down	match
ABT	2014-06-25	  40.70	  39.81	Stable	Down	miss
ABT	2014-08-04	  42.39	  41.41	Stable	Stable	match
ABT	2014-09-08	  42.81	  41.16	Stable	Stable	match
ABT	2014-11-17	  43.71	  42.49	Stable	Stable	match
ABT	2015-06-01	  48.94	  47.26	Up	Up	match
ABT	2016-03-22	  41.03	  40.00	Stable	Down	miss
ABT	2016-09-09	  41.01	  42.88	Down	Stable	miss
ABT	2016-11-25	  39.16	  39.54	Down	Down	match
ABT	2017-02-07	  42.89	  41.46	Stable	Down	miss
ABT	2017-04-24	  44.13	  43.83	Stable	Stable	match
ABT	2017-11-02	  54.37	  52.97	Up	Up	match
LLY	2013-11-05	  50.37	  50.54	Down	Down	match
LLY	2014-01-16	  55.30	  52.59	Down	Down	match
LLY	2014-05-02	  59.08	  59.06	Down	Down	match
LLY	2014-06-19	  59.85	  59.60	Down	Down	match
LLY	2014-06-24	  61.89	  60.11	Stable	Down	miss
LLY	2014-06-25	  63.00	  60.81	Stable	Stable	match
LLY	2014-08-04	  61.63	  61.53	Stable	Stable	match
LLY	2014-09-08	  65.00	  63.70	Stable	Stable	match
LLY	2014-11-17	  67.29	  65.66	Up	Up	match
LLY	2015-06-01	  79.00	  75.29	Up	Up	match
LLY	2016-03-22	  71.92	  72.82	Up	Up	match
LLY	2016-09-09	  78.24	  79.86	Up	Up	match
LLY	2016-11-25	  69.12	  72.85	Up	Up	match
LLY	2017-02-07	  77.70	  75.59	Up	Up	match
LLY	2017-04-24	  83.42	  82.14	Up	Up	match
LLY	2017-11-02	  83.13	  83.03	Up	Up	match
PFE	2013-11-05	  31.24	  30.13	Stable	Stable	match
PFE	2014-01-16	  31.17	  31.13	Stable	Stable	match
PFE	2014-05-02	  30.75	  31.29	Stable	Stable	match
PFE	2014-06-19	  29.59	  30.57	Down	Down	match
PFE	2014-06-24	  29.30	  29.87	Down	Down	match
PFE	2014-06-25	  29.80	  29.49	Down	Down	match
PFE	2014-08-04	  28.75	  29.64	Down	Down	match
PFE	2014-09-08	  29.40	  29.42	Down	Down	match
PFE	2014-11-17	  30.32	  30.03	Down	Down	match
PFE	2015-06-01	  34.56	  33.85	Up	Up	match
PFE	2016-03-22	  30.38	  29.96	Down	Down	match
PFE	2016-09-09	  34.10	  34.97	Up	Up	match
PFE	2016-11-25	  31.69	  32.11	Stable	Stable	match
PFE	2017-02-07	  32.08	  31.72	Stable	Stable	match
PFE	2017-04-24	  33.74	  34.01	Up	Up	match
PFE	2017-11-02	  35.46	  35.19	Up	Up	match
ZTS	2013-11-05	  31.69	  32.09	Down	Down	match
ZTS	2014-01-16	  32.00	  32.13	Down	Down	match
ZTS	2014-05-02	  30.64	  30.43	Down	Down	match
ZTS	2014-06-19	  32.55	  31.69	Down	Down	match
ZTS	2014-06-24	  32.37	  31.88	Down	Down	match
ZTS	2014-06-25	  32.37	  31.80	Down	Down	match
ZTS	2014-08-04	  33.24	  32.41	Down	Down	match
ZTS	2014-09-08	  36.28	  33.84	Stable	Down	miss
ZTS	2014-11-17	  44.23	  36.58	Stable	Stable	match
ZTS	2015-06-01	  49.78	  44.25	Stable	Stable	match
ZTS	2016-03-22	  42.75	  42.33	Stable	Stable	match
ZTS	2016-09-09	  50.39	  49.18	Stable	Stable	match
ZTS	2016-11-25	  50.18	  49.63	Stable	Stable	match
ZTS	2017-02-07	  55.98	  52.40	Stable	Stable	match
ZTS	2017-04-24	  54.99	  52.57	Stable	Stable	match
ZTS	2017-11-02	  67.31	  61.35	Up	Stable	miss
WMT	2013-11-05	  77.42	  76.70	Up	Up	match
WMT	2014-01-16	  76.76	  77.60	Up	Up	match
WMT	2014-05-02	  79.12	  78.52	Up	Up	match
WMT	2014-06-19	  75.87	  76.05	Stable	Stable	match
WMT	2014-06-24	  75.97	  76.04	Stable	Stable	match
WMT	2014-06-25	  75.62	  76.26	Stable	Stable	match
WMT	2014-08-04	  73.54	  74.83	Down	Stable	miss
WMT	2014-09-08	  76.53	  76.53	Stable	Stable	match
WMT	2014-11-17	  83.57	  79.90	Up	Up	match
WMT	2015-06-01	  74.73	  75.91	Stable	Stable	match
WMT	2016-03-22	  67.87	  69.29	Down	Down	match
WMT	2016-09-09	  70.30	  72.82	Down	Down	match
WMT	2016-11-25	  71.23	  70.43	Down	Down	match
WMT	2017-02-07	  66.89	  67.41	Down	Down	match
WMT	2017-04-24	  74.78	  73.31	Down	Down	match
WMT	2017-11-02	  88.80	  85.35	Up	Up	match
MNST	2013-11-05	  19.17	  18.45	Down	Down	match
MNST	2014-01-16	  23.18	  20.78	Down	Down	match
MNST	2014-05-02	  22.31	  22.16	Down	Down	match
MNST	2014-06-19	  24.25	  23.09	Down	Down	match
MNST	2014-06-24	  23.74	  23.42	Down	Down	match
MNST	2014-06-25	  23.48	  23.10	Down	Down	match
MNST	2014-08-04	  21.85	  21.83	Down	Down	match
MNST	2014-09-08	  29.97	  27.08	Stable	Down	miss
MNST	2014-11-17	  36.69	  30.61	Stable	Stable	match
MNST	2015-06-01	  42.39	  42.35	Stable	Stable	match
MNST	2016-03-22	  44.87	  44.84	Up	Up	match
MNST	2016-09-09	  49.18	  50.70	Up	Up	match
MNST	2016-11-25	  44.85	  46.04	Up	Up	match
MNST	2017-02-07	  43.08	  43.32	Stable	Stable	match
MNST	2017-04-24	  45.47	  44.34	Up	Stable	miss
MNST	2017-11-02	  57.45	  55.29	Up	Up	match
MDLZ	2013-11-05	  33.44	  32.52	Down	Down	match
MDLZ	2014-01-16	  35.70	  34.75	Down	Down	match
MDLZ	2014-05-02	  35.48	  35.25	Down	Down	match
MDLZ	2014-06-19	  37.50	  36.90	Down	Down	match
MDLZ	2014-06-24	  37.14	  37.18	Down	Down	match
MDLZ	2014-06-25	  37.11	  37.09	Down	Down	match
MDLZ	2014-08-04	  36.45	  37.32	Down	Down	match
MDLZ	2014-09-08	  35.32	  36.49	Down	Down	match
MDLZ	2014-11-17	  38.37	  37.03	Stable	Down	miss
MDLZ	2015-06-01	  40.69	  39.13	Stable	Stable	match
MDLZ	2016-03-22	  39.91	  40.50	Stable	Stable	match
MDLZ	2016-09-09	  42.09	  44.17	Stable	Up	miss
MDLZ	2016-11-25	  43.28	  42.73	Up	Up	match
MDLZ	2017-02-07	  43.93	  43.58	Up	Up	match
MDLZ	2017-04-24	  45.39	  44.33	Up	Up	match
MDLZ	2017-11-02	  41.16	  41.46	Stable	Stable	match
KO	2013-11-05	  39.50	  31.93	Down	Down	match
KO	2014-01-16	  39.71	  39.55	Down	Down	match
KO	2014-05-02	  40.95	  39.96	Down	Down	match
KO	2014-06-19	  41.79	  40.92	Stable	Down	miss
KO	2014-06-24	  41.85	  41.04	Stable	Down	miss
KO	2014-06-25	  41.96	  41.22	Stable	Down	miss
KO	2014-08-04	  39.40	  40.30	Down	Down	match
KO	2014-09-08	  41.78	  41.22	Stable	Down	miss
KO	2014-11-17	  42.92	  42.28	Up	Up	match
KO	2015-06-01	  40.94	  40.81	Down	Down	match
KO	2016-03-22	  45.50	  43.88	Up	Up	match
KO	2016-09-09	  42.27	  43.74	Stable	Up	miss
KO	2016-11-25	  41.53	  41.52	Down	Down	match
KO	2017-02-07	  41.90	  41.48	Down	Down	match
KO	2017-04-24	  43.28	  42.53	Up	Down	miss
KO	2017-11-02	  45.88	  45.51	Up	Up	match
KHC	2016-03-22	  76.44	  76.37	Down	Down	match
KHC	2016-09-09	  85.97	  88.26	Stable	Up	miss
KHC	2016-11-25	  82.95	  84.19	Stable	Stable	match
KHC	2017-02-07	  88.81	  87.21	Up	Stable	miss
KHC	2017-04-24	  92.56	  91.41	Up	Up	match
KHC	2017-11-02	  78.03	  78.84	Down	Down	match
