Ticker	Sample Size	Accuracy	SMAPE
HCA	18	0.778	0.028
ABT	18	0.944	0.008
LLY	18	1.000	0.009
PFE	18	0.833	0.010
ZTS	18	1.000	0.009
WMT	18	0.833	0.023
MNST	18	1.000	0.014
MDLZ	18	0.889	0.021
KO	18	0.889	0.006
KHC	9	1.000	0.010
Ensemble	171	0.912	0.014
