Ticker	Date	Price	Model	Actual	Forecast
HCA	2013-05-15	close	MA	  40.20	  40.60
HCA	2013-05-15	close	EWMA	  40.20	  40.02
HCA	2013-05-15	close	ARIMA	  40.20	  40.63
HCA	2013-05-15	close	KNN	  40.20	  37.89
HCA	2013-05-15	close	SAX	  40.20	  38.89
HCA	2013-05-15	close	LSTM	  40.20	  36.60
HCA	2013-08-19	close	MA	  38.05	  38.57
HCA	2013-08-19	close	EWMA	  38.05	  37.21
HCA	2013-08-19	close	ARIMA	  38.05	  37.93
HCA	2013-08-19	close	KNN	  38.05	  38.48
HCA	2013-08-19	close	SAX	  38.05	  37.14
HCA	2013-08-19	close	LSTM	  38.05	  38.25
HCA	2013-11-20	close	MA	  44.20	  44.93
HCA	2013-11-20	close	EWMA	  44.20	  43.58
HCA	2013-11-20	close	ARIMA	  44.20	  43.71
HCA	2013-11-20	close	KNN	  44.20	  47.22
HCA	2013-11-20	close	SAX	  44.20	  46.05
HCA	2013-11-20	close	LSTM	  44.20	  38.54
HCA	2014-02-28	close	MA	  51.20	  50.39
HCA	2014-02-28	close	EWMA	  51.20	  50.56
HCA	2014-02-28	close	ARIMA	  51.20	  51.47
HCA	2014-02-28	close	KNN	  51.20	  48.04
HCA	2014-02-28	close	SAX	  51.20	  49.50
HCA	2014-02-28	close	LSTM	  51.20	  37.50
HCA	2014-06-04	close	MA	  54.77	  53.45
HCA	2014-06-04	close	EWMA	  54.77	  53.62
HCA	2014-06-04	close	ARIMA	  54.77	  54.46
HCA	2014-06-04	close	KNN	  54.77	  51.14
HCA	2014-06-04	close	SAX	  54.77	  51.39
HCA	2014-06-04	close	LSTM	  54.77	  49.19
HCA	2014-09-08	close	MA	  70.23	  69.29
HCA	2014-09-08	close	EWMA	  70.23	  69.22
HCA	2014-09-08	close	ARIMA	  70.23	  69.23
HCA	2014-09-08	close	KNN	  70.23	  62.35
HCA	2014-09-08	close	SAX	  70.23	  67.85
HCA	2014-09-08	close	LSTM	  70.23	  -1.00
HCA	2014-12-10	close	MA	  72.60	  73.07
HCA	2014-12-10	close	EWMA	  72.60	  73.13
HCA	2014-12-10	close	ARIMA	  72.60	  73.81
HCA	2014-12-10	close	KNN	  72.60	  71.90
HCA	2014-12-10	close	SAX	  72.60	  70.25
HCA	2014-12-10	close	LSTM	  72.60	  50.07
HCA	2015-03-19	close	MA	  75.42	  73.11
HCA	2015-03-19	close	EWMA	  75.42	  74.74
HCA	2015-03-19	close	ARIMA	  75.42	  74.75
HCA	2015-03-19	close	KNN	  75.42	  71.47
HCA	2015-03-19	close	SAX	  75.42	  68.26
HCA	2015-03-19	close	LSTM	  75.42	  65.27
HCA	2015-06-23	close	MA	  83.96	  83.93
HCA	2015-06-23	close	EWMA	  83.96	  84.46
HCA	2015-06-23	close	ARIMA	  83.96	  84.41
HCA	2015-06-23	close	KNN	  83.96	  79.45
HCA	2015-06-23	close	SAX	  83.96	  81.59
HCA	2015-06-23	close	LSTM	  83.96	  69.88
HCA	2015-09-25	close	MA	  79.45	  82.70
HCA	2015-09-25	close	EWMA	  79.45	  82.13
HCA	2015-09-25	close	ARIMA	  79.45	  82.07
HCA	2015-09-25	close	KNN	  79.45	  84.81
HCA	2015-09-25	close	SAX	  79.45	  87.82
HCA	2015-09-25	close	LSTM	  79.45	  66.46
HCA	2015-12-30	close	MA	  68.44	  68.47
HCA	2015-12-30	close	EWMA	  68.44	  68.95
HCA	2015-12-30	close	ARIMA	  68.44	  69.09
HCA	2015-12-30	close	KNN	  68.44	  66.67
HCA	2015-12-30	close	SAX	  68.44	  65.20
HCA	2015-12-30	close	LSTM	  68.44	  67.28
HCA	2016-04-07	close	MA	  78.84	  78.66
HCA	2016-04-07	close	EWMA	  78.84	  79.50
HCA	2016-04-07	close	ARIMA	  78.84	  79.07
HCA	2016-04-07	close	KNN	  78.84	  71.69
HCA	2016-04-07	close	SAX	  78.84	  71.68
HCA	2016-04-07	close	LSTM	  78.84	  76.74
HCA	2016-07-12	close	MA	  78.40	  77.13
HCA	2016-07-12	close	EWMA	  78.40	  78.62
HCA	2016-07-12	close	ARIMA	  78.40	  78.18
HCA	2016-07-12	close	KNN	  78.40	  77.82
HCA	2016-07-12	close	SAX	  78.40	  76.03
HCA	2016-07-12	close	LSTM	  78.40	  78.18
HCA	2016-10-13	close	MA	  80.29	  75.49
HCA	2016-10-13	close	EWMA	  80.29	  77.37
HCA	2016-10-13	close	ARIMA	  80.29	  76.68
HCA	2016-10-13	close	KNN	  80.29	  76.09
HCA	2016-10-13	close	SAX	  80.29	  75.10
HCA	2016-10-13	close	LSTM	  80.29	  70.28
HCA	2017-01-19	close	MA	  78.62	  79.70
HCA	2017-01-19	close	EWMA	  78.62	  79.60
HCA	2017-01-19	close	ARIMA	  78.62	  79.56
HCA	2017-01-19	close	KNN	  78.62	  73.86
HCA	2017-01-19	close	SAX	  78.62	  75.88
HCA	2017-01-19	close	LSTM	  78.62	  79.59
HCA	2017-04-26	close	MA	  83.54	  84.23
HCA	2017-04-26	close	EWMA	  83.54	  85.81
HCA	2017-04-26	close	ARIMA	  83.54	  84.44
HCA	2017-04-26	close	KNN	  83.54	  83.02
HCA	2017-04-26	close	SAX	  83.54	  87.12
HCA	2017-04-26	close	LSTM	  83.54	  81.21
HCA	2017-07-31	close	MA	  80.34	  82.06
HCA	2017-07-31	close	EWMA	  80.34	  80.63
HCA	2017-07-31	close	ARIMA	  80.34	  80.43
HCA	2017-07-31	close	KNN	  80.34	  84.51
HCA	2017-07-31	close	SAX	  80.34	  84.51
HCA	2017-07-31	close	LSTM	  80.34	  82.44
HCA	2017-11-01	close	MA	  76.83	  76.92
HCA	2017-11-01	close	EWMA	  76.83	  75.88
HCA	2017-11-01	close	ARIMA	  76.83	  75.79
HCA	2017-11-01	close	KNN	  76.83	  77.71
HCA	2017-11-01	close	SAX	  76.83	  78.14
HCA	2017-11-01	close	LSTM	  76.83	  74.14
ABT	2013-05-15	close	MA	  37.66	  36.41
ABT	2013-05-15	close	EWMA	  37.66	  36.77
ABT	2013-05-15	close	ARIMA	  37.66	  36.97
ABT	2013-05-15	close	KNN	  37.66	  35.82
ABT	2013-05-15	close	SAX	  37.66	  35.44
ABT	2013-05-15	close	LSTM	  37.66	  36.63
ABT	2013-08-19	close	MA	  34.88	  35.49
ABT	2013-08-19	close	EWMA	  34.88	  34.20
ABT	2013-08-19	close	ARIMA	  34.88	  35.02
ABT	2013-08-19	close	KNN	  34.88	  36.15
ABT	2013-08-19	close	SAX	  34.88	  36.18
ABT	2013-08-19	close	LSTM	  34.88	  34.71
ABT	2013-11-20	close	MA	  38.18	  38.05
