Ticker	Sample Size	Accuracy	SMAPE
HCA	18	0.833	0.016
ABT	18	0.944	0.016
LLY	18	0.889	0.015
PFE	18	0.833	0.011
ZTS	18	0.944	0.016
WMT	18	1.000	0.009
MNST	18	0.944	0.012
MDLZ	18	0.889	0.010
KO	18	0.889	0.008
KHC	8	0.875	0.008
Ensemble	170	0.906	0.012
