Ticker	Sample Size	Accuracy	SMAPE
HCA	16	0.750	0.045
ABT	16	0.625	0.026
LLY	16	0.750	0.030
PFE	16	0.812	0.015
ZTS	16	0.750	0.038
WMT	16	0.938	0.018
MNST	16	0.750	0.032
MDLZ	16	0.875	0.022
KO	16	0.625	0.026
KHC	6	1.000	0.017
Ensemble	150	0.773	0.027
