Ticker	Sample Size	Accuracy	SMAPE
AMZN	16	0.750	0.022
CMG	16	0.750	0.031
NKE	16	0.812	0.020
HD	16	0.875	0.006
MMM	16	0.875	0.009
GE	16	0.938	0.026
IBM	16	0.750	0.007
INTC	16	0.500	0.096
PKG	16	0.875	0.013
MON	16	0.875	0.009
Ensemble	160	0.800	0.024
