Ticker	Sample Size	Accuracy	SMAPE
HCA	18	0.778	0.049
ABT	18	0.667	0.043
LLY	18	0.889	0.037
PFE	18	0.611	0.037
ZTS	18	0.944	0.035
WMT	18	0.667	0.040
MNST	18	0.889	0.039
MDLZ	18	0.722	0.030
KO	18	0.722	0.024
KHC	8	0.875	0.012
Ensemble	170	0.771	0.036
