Ticker	Sample Size	Accuracy	SMAPE
AMZN	15	0.800	0.156
CMG	16	0.625	0.180
NKE	16	0.438	0.100
HD	16	0.312	0.104
MMM	16	0.438	0.147
GE	15	0.733	0.048
IBM	16	0.625	0.044
INTC	15	0.400	0.156
PKG	16	0.625	0.128
MON	16	0.625	0.045
Ensemble	157	0.561	0.111
