Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-11-05	 358.89	 297.00	Stable	Down	miss
AMZN	2014-01-16	 395.80	 375.13	Stable	Stable	match
AMZN	2014-05-02	 308.01	 313.00	Down	Down	match
AMZN	2014-06-19	 327.00	 334.08	Down	Down	match
AMZN	2014-06-24	 324.16	 323.86	Down	Down	match
AMZN	2014-06-25	 327.44	 319.81	Down	Down	match
AMZN	2014-08-04	 313.65	 321.73	Down	Down	match
AMZN	2014-09-08	 342.34	 340.94	Stable	Stable	match
AMZN	2014-11-17	 323.05	 322.66	Down	Down	match
AMZN	2015-06-01	 430.92	 411.89	Stable	Stable	match
AMZN	2016-03-22	 560.48	 553.72	Stable	Stable	match
AMZN	2016-09-09	 760.14	 755.12	Up	Up	match
AMZN	2016-11-25	 780.37	 769.59	Up	Up	match
AMZN	2017-02-07	 812.50	 789.11	Up	Up	match
AMZN	2017-04-24	 907.41	 859.81	Up	Up	match
AMZN	2017-11-02	1094.22	1025.86	Up	Up	match
CMG	2013-11-05	 543.05	 428.84	Stable	Down	miss
CMG	2014-01-16	 529.51	 523.45	Stable	Stable	match
CMG	2014-05-02	 501.77	 475.09	Stable	Down	miss
CMG	2014-06-19	 594.54	 580.09	Up	Up	match
CMG	2014-06-24	 595.62	 583.69	Up	Up	match
CMG	2014-06-25	 599.50	 579.24	Up	Up	match
CMG	2014-08-04	 682.98	 612.47	Up	Up	match
CMG	2014-09-08	 678.37	 621.66	Up	Up	match
CMG	2014-11-17	 658.32	 656.40	Up	Up	match
CMG	2015-06-01	 614.90	 615.42	Up	Up	match
CMG	2016-03-22	 471.76	 476.63	Down	Down	match
CMG	2016-09-09	 426.55	 428.95	Down	Down	match
CMG	2016-11-25	 410.28	 409.01	Down	Down	match
CMG	2017-02-07	 398.64	 400.95	Down	Down	match
CMG	2017-04-24	 468.79	 471.66	Down	Down	match
CMG	2017-11-02	 279.46	 296.03	Down	Down	match
NKE	2013-11-05	  38.60	  35.39	Down	Down	match
NKE	2014-01-16	  37.40	  37.88	Down	Down	match
NKE	2014-05-02	  36.49	  35.51	Down	Down	match
NKE	2014-06-19	  37.82	  36.38	Down	Down	match
NKE	2014-06-24	  37.49	  37.68	Down	Down	match
NKE	2014-06-25	  38.23	  37.82	Down	Down	match
NKE	2014-08-04	  38.58	  38.96	Down	Down	match
NKE	2014-09-08	  41.20	  39.33	Stable	Down	miss
NKE	2014-11-17	  48.03	  43.10	Stable	Stable	match
NKE	2015-06-01	  50.88	  49.68	Stable	Stable	match
NKE	2016-03-22	  64.90	  60.38	Up	Up	match
NKE	2016-09-09	  55.33	  56.70	Up	Up	match
NKE	2016-11-25	  51.52	  52.24	Stable	Stable	match
NKE	2017-02-07	  52.81	  52.25	Stable	Stable	match
NKE	2017-04-24	  55.47	  54.97	Up	Up	match
NKE	2017-11-02	  55.12	  54.02	Up	Up	match
HD	2013-11-05	  76.65	  76.73	Down	Down	match
HD	2014-01-16	  81.26	  80.78	Down	Down	match
HD	2014-05-02	  79.40	  79.55	Down	Down	match
HD	2014-06-19	  80.44	  80.03	Down	Down	match
HD	2014-06-24	  80.43	  80.35	Down	Down	match
HD	2014-06-25	  80.53	  79.89	Down	Down	match
HD	2014-08-04	  80.03	  80.49	Down	Down	match
HD	2014-09-08	  90.82	  88.63	Stable	Stable	match
HD	2014-11-17	  98.03	  97.03	Stable	Stable	match
HD	2015-06-01	 111.67	 111.90	Stable	Stable	match
HD	2016-03-22	 130.59	 129.03	Up	Up	match
HD	2016-09-09	 127.74	 132.44	Up	Up	match
HD	2016-11-25	 131.57	 129.81	Up	Up	match
HD	2017-02-07	 136.65	 136.10	Up	Up	match
HD	2017-04-24	 151.89	 148.24	Up	Up	match
HD	2017-11-02	 162.71	 164.53	Up	Up	match
MMM	2013-11-05	 126.12	 120.45	Down	Down	match
MMM	2014-01-16	 138.16	 126.08	Down	Down	match
MMM	2014-05-02	 140.12	 135.74	Down	Down	match
MMM	2014-06-19	 144.49	 133.81	Down	Down	match
MMM	2014-06-24	 143.09	 140.62	Down	Down	match
MMM	2014-06-25	 143.65	 133.68	Down	Down	match
MMM	2014-08-04	 140.75	 139.14	Down	Down	match
MMM	2014-09-08	 144.89	 135.26	Down	Down	match
MMM	2014-11-17	 158.69	 152.51	Down	Down	match
MMM	2015-06-01	 158.98	 148.92	Down	Down	match
MMM	2016-03-22	 164.91	 160.76	Stable	Stable	match
MMM	2016-09-09	 175.64	 175.85	Stable	Stable	match
MMM	2016-11-25	 173.49	 170.54	Stable	Stable	match
MMM	2017-02-07	 175.76	 173.29	Stable	Stable	match
MMM	2017-04-24	 194.23	 184.93	Up	Stable	miss
MMM	2017-11-02	 232.23	 214.01	Up	Up	match
GE	2013-11-05	  26.42	  24.70	Down	Down	match
