Ticker	Date	Price	Model	Actual	Forecast
AMZN	2013-05-01	close	MA	  -1.00	   0.00
AMZN	2013-05-01	close	EWMA	  -1.00	   0.00
AMZN	2013-05-01	close	ARIMA	  -1.00	   0.00
AMZN	2013-05-01	close	KNN	  -1.00	   0.00
AMZN	2013-05-01	close	SAX	  -1.00	   0.00
AMZN	2013-05-01	close	LSTM	  -1.00	   0.00
AMZN	2013-08-01	close	MA	 305.57	 305.03
AMZN	2013-08-01	close	EWMA	 305.57	 303.77
AMZN	2013-08-01	close	ARIMA	 305.57	 300.32
AMZN	2013-08-01	close	KNN	 305.57	 268.94
AMZN	2013-08-01	close	SAX	 305.57	 288.58
AMZN	2013-08-01	close	LSTM	 305.57	  -1.00
AMZN	2013-11-01	close	MA	 359.00	 361.87
AMZN	2013-11-01	close	EWMA	 359.00	 368.36
AMZN	2013-11-01	close	ARIMA	 359.00	 284.52
AMZN	2013-11-01	close	KNN	 359.00	 295.66
AMZN	2013-11-01	close	SAX	 359.00	 304.18
AMZN	2013-11-01	close	LSTM	 359.00	 274.13
AMZN	2014-02-03	close	MA	 346.15	 385.32
AMZN	2014-02-03	close	EWMA	 346.15	 359.95
AMZN	2014-02-03	close	ARIMA	 346.15	 364.74
AMZN	2014-02-03	close	KNN	 346.15	 391.18
AMZN	2014-02-03	close	SAX	 346.15	 391.61
AMZN	2014-02-03	close	LSTM	 346.15	 356.64
AMZN	2014-05-01	close	MA	 307.89	 308.41
AMZN	2014-05-01	close	EWMA	 307.89	 304.68
AMZN	2014-05-01	close	ARIMA	 307.89	 304.16
AMZN	2014-05-01	close	KNN	 307.89	 326.49
AMZN	2014-05-01	close	SAX	 307.89	 344.49
AMZN	2014-05-01	close	LSTM	 307.89	 296.50
AMZN	2014-08-01	close	MA	 307.06	 319.98
AMZN	2014-08-01	close	EWMA	 307.06	 312.99
AMZN	2014-08-01	close	ARIMA	 307.06	 313.37
AMZN	2014-08-01	close	KNN	 307.06	 336.03
AMZN	2014-08-01	close	SAX	 307.06	 337.05
AMZN	2014-08-01	close	LSTM	 307.06	 359.80
AMZN	2014-11-03	close	MA	 305.72	 296.84
AMZN	2014-11-03	close	EWMA	 305.72	 304.47
AMZN	2014-11-03	close	ARIMA	 305.72	 306.35
AMZN	2014-11-03	close	KNN	 305.72	 332.81
AMZN	2014-11-03	close	SAX	 305.72	 319.72
AMZN	2014-11-03	close	LSTM	 305.72	 300.89
AMZN	2015-02-02	close	MA	 364.47	 317.33
AMZN	2015-02-02	close	EWMA	 364.47	 359.17
AMZN	2015-02-02	close	ARIMA	 364.47	 353.94
AMZN	2015-02-02	close	KNN	 364.47	 301.47
AMZN	2015-02-02	close	SAX	 364.47	 305.88
AMZN	2015-02-02	close	LSTM	 364.47	 300.79
AMZN	2015-05-01	close	MA	 422.87	 432.82
AMZN	2015-05-01	close	EWMA	 422.87	 423.38
AMZN	2015-05-01	close	ARIMA	 422.87	 420.35
AMZN	2015-05-01	close	KNN	 422.87	 385.66
AMZN	2015-05-01	close	SAX	 422.87	 381.87
AMZN	2015-05-01	close	LSTM	 422.87	 364.88
AMZN	2015-08-03	close	MA	 535.03	 531.87
AMZN	2015-08-03	close	EWMA	 535.03	 536.27
AMZN	2015-08-03	close	ARIMA	 535.03	 364.39
AMZN	2015-08-03	close	KNN	 535.03	 423.81
AMZN	2015-08-03	close	SAX	 535.03	 444.20
AMZN	2015-08-03	close	LSTM	 535.03	 390.42
AMZN	2015-11-02	close	MA	 628.35	 617.83
AMZN	2015-11-02	close	EWMA	 628.35	 624.39
AMZN	2015-11-02	close	ARIMA	 628.35	 415.63
AMZN	2015-11-02	close	KNN	 628.35	 521.72
AMZN	2015-11-02	close	SAX	 628.35	 539.44
AMZN	2015-11-02	close	LSTM	 628.35	 431.71
AMZN	2016-02-01	close	MA	 574.81	 600.70
AMZN	2016-02-01	close	EWMA	 574.81	 586.16
AMZN	2016-02-01	close	ARIMA	 574.81	 586.52
AMZN	2016-02-01	close	KNN	 574.81	 654.18
AMZN	2016-02-01	close	SAX	 574.81	 630.13
AMZN	2016-02-01	close	LSTM	 574.81	 485.15
AMZN	2016-05-02	close	MA	 683.85	 622.25
AMZN	2016-05-02	close	EWMA	 683.85	 678.99
AMZN	2016-05-02	close	ARIMA	 683.85	 658.67
AMZN	2016-05-02	close	KNN	 683.85	 574.40
AMZN	2016-05-02	close	SAX	 683.85	 626.46
AMZN	2016-05-02	close	LSTM	 683.85	 508.16
AMZN	2016-08-01	close	MA	 767.74	 744.66
AMZN	2016-08-01	close	EWMA	 767.74	 754.36
AMZN	2016-08-01	close	ARIMA	 767.74	 757.73
AMZN	2016-08-01	close	KNN	 767.74	 715.78
AMZN	2016-08-01	close	SAX	 767.74	 709.52
AMZN	2016-08-01	close	LSTM	 767.74	 554.07
AMZN	2016-11-01	close	MA	 785.41	 808.45
AMZN	2016-11-01	close	EWMA	 785.41	 788.43
AMZN	2016-11-01	close	ARIMA	 785.41	 788.98
AMZN	2016-11-01	close	KNN	 785.41	 761.22
AMZN	2016-11-01	close	SAX	 785.41	 827.35
AMZN	2016-11-01	close	LSTM	 785.41	 604.23
AMZN	2017-02-01	close	MA	 832.35	 833.06
AMZN	2017-02-01	close	EWMA	 832.35	 827.78
AMZN	2017-02-01	close	ARIMA	 832.35	 822.79
AMZN	2017-02-01	close	KNN	 832.35	 765.23
AMZN	2017-02-01	close	SAX	 832.35	 778.28
AMZN	2017-02-01	close	LSTM	 832.35	 638.38
AMZN	2017-05-01	close	MA	 948.23	 913.54
AMZN	2017-05-01	close	EWMA	 948.23	 927.60
AMZN	2017-05-01	close	ARIMA	 948.23	 924.42
AMZN	2017-05-01	close	KNN	 948.23	 861.20
