Ticker	Sample Size	Accuracy	SMAPE
HCA	17	0.588	0.106
ABT	18	0.611	0.062
LLY	18	0.556	0.095
PFE	18	0.444	0.044
ZTS	16	0.625	0.102
WMT	18	0.611	0.054
MNST	18	0.722	0.169
MDLZ	17	0.529	0.071
KO	18	0.500	0.026
KHC	8	0.875	0.033
Ensemble	166	0.590	0.078
