Ticker	Sample Size	Accuracy	SMAPE
AMZN	15	0.600	0.156
CMG	16	0.562	0.180
NKE	16	0.875	0.100
HD	16	0.625	0.104
MMM	16	0.688	0.147
GE	15	0.800	0.048
IBM	16	0.750	0.044
INTC	15	0.333	0.156
PKG	16	0.562	0.128
MON	16	0.625	0.045
Ensemble	157	0.643	0.111
