Ticker	Sample Size	Accuracy	SMAPE
HCA	18	0.611	0.122
ABT	18	0.667	0.076
LLY	18	0.778	0.074
PFE	17	0.824	0.034
ZTS	18	0.667	0.103
WMT	18	0.778	0.055
MNST	17	0.706	0.154
MDLZ	18	0.444	0.065
KO	18	0.778	0.021
KHC	9	0.556	0.037
Ensemble	169	0.686	0.076
