Ticker	Sample Size	Accuracy	SMAPE
AMZN	17	0.471	0.225
CMG	17	0.471	0.171
NKE	17	0.824	0.123
HD	18	0.611	0.117
MMM	17	0.647	0.120
GE	18	0.722	0.051
IBM	16	0.750	0.068
INTC	17	0.706	0.078
PKG	18	0.667	0.169
MON	18	0.722	0.027
Ensemble	173	0.659	0.115
