Ticker	Sample Size	Accuracy	SMAPE
AMZN	18	0.833	0.071
CMG	18	0.944	0.030
NKE	18	1.000	0.012
HD	18	1.000	0.016
MMM	18	0.944	0.010
GE	18	0.889	0.028
IBM	18	0.944	0.007
INTC	18	0.833	0.039
PKG	18	0.889	0.010
MON	18	0.889	0.009
Ensemble	180	0.917	0.023
