Ticker	Sample Size	Accuracy	SMAPE
HCA	18	0.889	0.017
ABT	18	0.833	0.018
LLY	18	0.944	0.012
PFE	18	0.944	0.012
ZTS	18	0.944	0.012
WMT	18	0.833	0.010
MNST	18	0.944	0.022
MDLZ	18	0.778	0.018
KO	18	0.833	0.010
KHC	9	0.889	0.010
Ensemble	171	0.883	0.014
