Ticker	Sample Size	Accuracy	SMAPE
AMZN	18	0.944	0.098
CMG	18	0.889	0.099
NKE	18	0.778	0.038
HD	18	0.944	0.032
MMM	18	0.778	0.044
GE	18	0.556	0.058
IBM	18	0.722	0.045
INTC	18	0.778	0.053
PKG	18	0.778	0.060
MON	18	0.833	0.030
Ensemble	180	0.800	0.056
