Ticker	Sample Size	Accuracy	SMAPE
HCA	18	0.778	0.049
ABT	18	0.722	0.046
LLY	18	0.722	0.047
PFE	18	0.556	0.040
ZTS	18	0.944	0.054
WMT	18	0.500	0.048
MNST	18	1.000	0.064
MDLZ	18	0.722	0.038
KO	18	0.500	0.026
KHC	8	0.375	0.031
Ensemble	170	0.700	0.045
