Ticker	Sample Size	Accuracy	SMAPE
AMZN	18	0.889	0.064
CMG	18	0.944	0.077
NKE	18	0.778	0.043
HD	18	0.778	0.038
MMM	18	0.944	0.028
GE	18	0.778	0.029
IBM	18	0.889	0.020
INTC	18	0.944	0.036
PKG	18	0.889	0.047
MON	18	0.889	0.042
Ensemble	180	0.872	0.042
